rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0.05,828,2120,-342.9236,1805434,851,2144.64,0.43756523728370667,0.0001,438858
0.05,832,2131,-342.4975,1814083,851,2145.9,0.026859765872359276,0.0001,441020
0.05,836,2144,-343.55690000000004,1822749,850,2146.03,0.04445292800664902,0.0001,443187
0.05,840,2169,-343.65649999999994,1831278,844,2146.39,0.03645218536257744,0.0001,445319
0.05,844,2191,-344.56089999999995,1840015,839,2147.49,0.044043898582458496,0.0001,447503
0.05,848,2211,-344.1102,1848678,835,2148.83,0.0455005019903183,0.0001,449669
0.05,852,2229,-343.85089999999997,1857264,833,2148.33,0.035340871661901474,0.0001,451815
0.05,856,2247,-343.3700999999999,1865906,830,2149.08,0.04040404409170151,0.0001,453976
0.05,860,2263,-343.1037,1874739,828,2152.77,0.028700875118374825,0.0001,456184
0.05,864,2278,-341.75299999999993,1883316,826,2153.84,0.041311170905828476,0.0001,458328
0.05,868,2294,-341.4832,1891839,824,2154.1,0.06262083351612091,0.0001,460459
0.05,872,2310,-341.7478,1900530,822,2156.02,0.022418932989239693,0.0001,462632
0.05,876,2326,-340.9224,1909020,820,2154.79,0.026220325380563736,0.0001,464754
0.05,880,2342,-339.9885,1917742,818,2157.57,0.051786694675683975,0.0001,466935
0.05,884,2358,-340.63329999999996,1926502,816,2158.86,0.04962419345974922,0.0001,469125
0.05,888,2374,-340.3007999999999,1935100,814,2159.39,0.06066032126545906,0.0001,471274
0.05,892,2390,-339.66790000000003,1943804,813,2160.98,0.02996707707643509,0.0001,473450
0.05,896,2406,-338.7998,1952431,811,2160.62,0.031790267676115036,0.0001,475607
0.05,900,2422,-337.82400000000007,1960990,809,2160.13,0.029639650136232376,0.0001,477747
0.05,904,2438,-335.9897,1969466,807,2158.58,0.04150059446692467,0.0001,479866
0.05,908,2454,-335.53329999999994,1977921,805,2157.36,0.07650794088840485,0.0001,481980
0.05,912,2471,-336.2536,1986621,803,2158.39,0.03265395760536194,0.0001,484155
